years_since_event,avg_fci
5,228.07105263157894
8,220.18714285714287
3,209.106875
10,226.73785714285714
-3,180.698
2,221.48782608695652
0,206.707
4,219.4715
7,219.6164705882353
9,219.2153846153846
-4,183.1835
1,211.31
-1,197.61291666666665
6,211.58714285714285
-2,185.52315789473684
-5,181.785625
