year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2019,CWS,Chicago White Sox,Guaranteed Rate Field,1649775,20622,72,CHICAGO WHITE SOX,223.5,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2019,CIN,Cincinnati Reds,Great American Ball Park,1809075,22334,75,CINCINNATI,204.56,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2019,CLE,Cleveland Indians,Progressive Field,1738642,21465,93,CLEVELAND,219.64,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2019,COL,Colorado Rockies,Coors Field,2993244,36954,71,COLORADO,214.64,Coors Field,50398,1995,0,0,NA,NA
2019,DET,Detroit Tigers,Comerica Park,1501430,18536,47,DETROIT,212.22,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2019,HOU,Houston Astros,Minute Maid Park,2857367,35276,107,HOUSTON,313.38,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2019,KC,Kansas City Royals,Kauffman Stadium,1479659,18267,59,KANSAS CITY,230.34,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2019,LAA,Los Angeles Angels,Angel Stadium of Anaheim,3023012,37321,72,CALIFORNIA/ANAHEIM/LA,197.66,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2019,LAD,Los Angeles Dodgers,Dodger Stadium,3974309,49066,106,LOS ANGELES DODGERS,274.98,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2019,MIA,Miami Marlins,Marlins Park,811302,10016,57,FLORIDA/Miami,175.68,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2019,MIL,Milwaukee Brewers,Miller Park,2923333,36091,89,MILWAUKEE,209.76,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2019,MIN,Minnesota Twins,Target Field,2303299,28436,101,MINNESOTA,210.72,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2019,NYM,New York Mets,Citi Field,2442532,30155,86,N.Y. METS,247.38,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2019,NYY,New York Yankees,Yankee Stadium III,3304404,40795,103,N.Y. YANKEES,293.96,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2019,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1670734,20626,97,OAKLAND,212.1,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2019,PHI,Philadelphia Phillies,Citizens Bank Park,2727421,33672,81,PHILADELPHIA,250.16,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2019,PIT,Pittsburgh Pirates,PNC Park,1491439,18413,69,PITTSBURGH,182.42,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2019,SD,San Diego Padres,Petco Park,2396399,29585,70,SAN DIEGO,195.88,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2019,SF,San Francisco Giants,Oracle Park,2707760,33429,77,SAN FRANCISCO,278.2,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2019,SEA,Seattle Mariners,T-Mobile Park,1791109,22112,68,SEATTLE,258.06,T-Mobile Park,47574,1999,0,0,NA,NA
2019,STL,St. Louis Cardinals,Busch Stadium III,3480393,42968,91,ST. LOUIS,254.46,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2019,TB,Tampa Bay Rays,Tropicana Field,1178735,14552,96,TAMPA BAY,160.12,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2019,TEX,Texas Rangers,Globe Life Park in Arlington,2132994,26333,78,TEXAS,220.98,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2019,TOR,Toronto Blue Jays,Rogers Centre,1750144,21607,67,TORONTO,216.51,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2019,WAS,Washington Nationals,Nationals Park,2259781,27899,93,WASHINGTON,296.48,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2018,ARI,Arizona Diamondbacks,Chase Field,2242695,27688,82,ARIZONA,145.58,Chase Field,48633,1998,0,0,NA,NA
2018,ATL,Atlanta Braves,SunTrust Park,2555781,31553,90,ATLANTA,217.84,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2018,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1564192,19311,47,BALTIMORE,187.8,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2018,BOS,Boston Red Sox,Fenway Park,2895575,35748,108,BOSTON,345.88,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2018,CHC,Chicago Cubs,Wrigley Field,3181089,38794,95,CHICAGO CUBS,368.28,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2018,CWS,Chicago White Sox,Guaranteed Rate Field,1608817,19862,62,CHICAGO WHITE SOX,216.9,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2018,CIN,Cincinnati Reds,Great American Ball Park,1629356,20116,67,CINCINNATI,191.06,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2018,CLE,Cleveland Indians,Progressive Field,1926701,23786,91,CLEVELAND,210.16,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2018,COL,Colorado Rockies,Coors Field,3015880,37233,91,COLORADO,198.06,Coors Field,50398,1995,0,0,NA,NA
2018,DET,Detroit Tigers,Comerica Park,1856970,22926,64,DETROIT,201.6,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2018,HOU,Houston Astros,Minute Maid Park,2980549,36797,103,HOUSTON,262.98,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2018,KC,Kansas City Royals,Kauffman Stadium,1665107,20557,58,KANSAS CITY,233.3,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2018,LAA,Los Angeles Angels,Angel Stadium of Anaheim,3020216,37287,80,CALIFORNIA/ANAHEIM/LA,194.02,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2018,LAD,Los Angeles Dodgers,Dodger Stadium,3857500,47043,92,LOS ANGELES DODGERS,268.02,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2018,MIA,Miami Marlins,Marlins Park,811104,10014,63,FLORIDA/Miami,229.02,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2018,MIL,Milwaukee Brewers,Miller Park,2850875,35196,96,MILWAUKEE,210.4,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2018,MIN,Minnesota Twins,Target Field,1959197,24188,78,MINNESOTA,237.72,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2018,NYM,New York Mets,Citi Field,2224995,27469,77,N.Y. METS,244.38,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2018,NYY,New York Yankees,Yankee Stadium III,3482855,42998,100,N.Y. YANKEES,301.46,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2018,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1573616,19427,97,OAKLAND,199.52,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2018,PHI,Philadelphia Phillies,Citizens Bank Park,2158124,26644,80,PHILADELPHIA,250.14,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2018,PIT,Pittsburgh Pirates,PNC Park,1465316,18316,82,PITTSBURGH,178.72,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2018,SD,San Diego Padres,Petco Park,2168536,26772,66,SAN DIEGO,192.12,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2018,SF,San Francisco Giants,AT&T Park,3156185,38965,73,SAN FRANCISCO,271.7,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2018,SEA,Seattle Mariners,Safeco Field,2299489,28389,89,SEATTLE,251.32,T-Mobile Park,47574,1999,0,0,NA,NA
2018,STL,St. Louis Cardinals,Busch Stadium III,3403587,42020,88,ST. LOUIS,257.16,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2018,TB,Tampa Bay Rays,Tropicana Field,1154973,14259,90,TAMPA BAY,156.4,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2018,TEX,Texas Rangers,Globe Life Park in Arlington,2107107,26014,67,TEXAS,217.76,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2018,TOR,Toronto Blue Jays,Rogers Centre,2325281,28707,73,TORONTO,213.9,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2018,WAS,Washington Nationals,Nationals Park,2529604,31230,82,WASHINGTON,266.06,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2017,ARI,Arizona Diamondbacks,Chase Field,2134375,26350,93,NA,NA,Chase Field,48633,1998,0,0,NA,NA
2017,ATL,Atlanta Braves,SunTrust Park,2505252,30929,72,NA,NA,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2017,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2028424,25042,75,NA,NA,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2017,BOS,Boston Red Sox,Fenway Park,2917678,36021,93,NA,NA,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2017,CHC,Chicago Cubs,Wrigley Field,3199562,39501,92,NA,NA,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2017,CWS,Chicago White Sox,Guaranteed Rate Field,1629470,20117,67,NA,NA,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2017,CIN,Cincinnati Reds,Great American Ball Park,1836917,22678,68,NA,NA,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2017,CLE,Cleveland Indians,Progressive Field,2048138,25286,102,NA,NA,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2017,COL,Colorado Rockies,Coors Field,2953650,36465,87,NA,NA,Coors Field,50398,1995,0,0,NA,NA
2017,DET,Detroit Tigers,Comerica Park,2321599,28662,64,NA,NA,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2017,HOU,Houston Astros,"Minute Maid Park, Tropicana Field",2403671,29675,101,NA,NA,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2017,KC,Kansas City Royals,Kauffman Stadium,2220370,27412,80,NA,NA,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2017,LAA,Los Angeles Angels,Angel Stadium of Anaheim,3019585,37279,80,NA,NA,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2017,LAD,Los Angeles Dodgers,Dodger Stadium,3765856,46492,104,NA,NA,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2017,MIA,Miami Marlins,Marlins Park,1583014,20295,77,NA,NA,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2017,MIL,Milwaukee Brewers,Miller Park,2627705,31282,86,NA,NA,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2017,MIN,Minnesota Twins,Target Field,2051279,25324,85,NA,NA,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2017,NYM,New York Mets,Citi Field,2460622,30378,70,NA,NA,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2017,NYY,New York Yankees,Yankee Stadium III,3154938,38950,91,NA,NA,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2017,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1475721,18219,75,NA,NA,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2017,PHI,Philadelphia Phillies,Citizens Bank Park,1905354,23523,66,NA,NA,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2017,PIT,Pittsburgh Pirates,PNC Park,1919447,23697,75,NA,NA,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2017,SD,San Diego Padres,Petco Park,2138491,26401,71,NA,NA,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2017,SF,San Francisco Giants,AT&T Park,3303652,40786,64,NA,NA,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2017,SEA,Seattle Mariners,Safeco Field,2135445,26364,78,NA,NA,T-Mobile Park,47574,1999,0,0,NA,NA
2017,STL,St. Louis Cardinals,Busch Stadium III,3448337,42572,83,NA,NA,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2017,TB,Tampa Bay Rays,Tropicana Field,1253619,15477,80,NA,NA,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2017,TEX,Texas Rangers,Globe Life Park in Arlington,2507760,30960,78,NA,NA,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2017,TOR,Toronto Blue Jays,Rogers Centre,3203886,39554,76,NA,NA,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2017,WAS,Washington Nationals,Nationals Park,2524980,31173,97,NA,NA,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2016,ARI,Arizona Diamondbacks,Chase Field,2036216,25138,69,ARIZONA,132.1,Chase Field,48633,1998,0,0,NA,NA
2016,ATL,Atlanta Braves,"Fort Bragg Park, Turner Field",2020914,24950,68,ATLANTA,178.02,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2016,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2172344,26819,89,BALTIMORE,183.34,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2016,BOS,Boston Red Sox,Fenway Park,2955434,36487,93,BOSTON,360.66,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2016,CHC,Chicago Cubs,Wrigley Field,3232420,39906,103,CHICAGO CUBS,312.32,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2016,CWS,Chicago White Sox,U.S. Cellular Field,1746293,21559,78,CHICAGO WHITE SOX,229.5,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2016,CIN,Cincinnati Reds,Great American Ball Park,1894085,23384,68,CINCINNATI,166.54,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2016,CLE,Cleveland Indians,Progressive Field,1591667,19650,94,CLEVELAND,179.44,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2016,COL,Colorado Rockies,Coors Field,2602524,32130,75,COLORADO,193.96,Coors Field,50398,1995,0,0,NA,NA
2016,DET,Detroit Tigers,Comerica Park,2493859,31173,86,DETROIT,214.52,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2016,HOU,Houston Astros,Minute Maid Park,2306623,28477,84,HOUSTON,242,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2016,KC,Kansas City Royals,Kauffman Stadium,2557712,31577,81,KANSAS CITY,202.52,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2016,LAA,Los Angeles Angels,Angel Stadium of Anaheim,3016142,37236,74,CALIFORNIA/ANAHEIM/LA,210.8,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2016,LAD,Los Angeles Dodgers,Dodger Stadium,3703312,45720,91,LOS ANGELES DODGERS,234.1,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2016,MIA,Miami Marlins,"Estadio Hiram Bithorn, Marlins Park",1712417,21405,79,FLORIDA/Miami,214.22,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2016,MIL,Milwaukee Brewers,Miller Park,2314614,28575,73,MILWAUKEE,190.28,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2016,MIN,Minnesota Twins,Target Field,1963912,24246,59,MINNESOTA,212.12,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2016,NYM,New York Mets,Citi Field,2789602,34440,87,N.Y. METS,223.56,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2016,NYY,New York Yankees,Yankee Stadium III,3063405,37820,84,N.Y. YANKEES,337.2,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2016,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1521506,18784,69,OAKLAND,198.84,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2016,PHI,Philadelphia Phillies,Citizens Bank Park,1915144,23644,71,PHILADELPHIA,258.5,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2016,PIT,Pittsburgh Pirates,PNC Park,2249201,27768,78,PITTSBURGH,195.84,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2016,SD,San Diego Padres,Petco Park,2351422,29030,68,SAN DIEGO,182.82,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2016,SF,San Francisco Giants,AT&T Park,3365256,41546,87,SAN FRANCISCO,255.04,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2016,SEA,Seattle Mariners,Safeco Field,2267928,27999,86,SEATTLE,209,T-Mobile Park,47574,1999,0,0,NA,NA
2016,STL,St. Louis Cardinals,Busch Stadium III,3444490,42525,86,ST. LOUIS,243.96,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2016,TB,Tampa Bay Rays,Tropicana Field,1286163,15879,68,TAMPA BAY,154.16,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2016,TEX,Texas Rangers,Globe Life Park in Arlington,2710402,33462,95,TEXAS,204.56,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2016,TOR,Toronto Blue Jays,Rogers Centre,3392099,41878,89,TORONTO,231.76,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2016,WAS,Washington Nationals,Nationals Park,2481938,30641,95,WASHINGTON,234.36,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2015,ARI,Arizona Diamondbacks,Chase Field,2080145,25681,79,ARIZONA,126.89,Chase Field,48633,1998,0,0,NA,NA
2015,ATL,Atlanta Braves,Turner Field,2001392,24709,67,ATLANTA,174.06,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2015,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2281202,29246,81,BALTIMORE,163.39,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2015,BOS,Boston Red Sox,Fenway Park,2880694,35564,78,BOSTON,350.86,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2015,CHC,Chicago Cubs,Wrigley Field,2919122,36039,97,CHICAGO CUBS,300.73,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2015,CWS,Chicago White Sox,U.S. Cellular Field,1755810,21677,76,CHICAGO WHITE SOX,208.18,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2015,CIN,Cincinnati Reds,Great American Ball Park,2419506,29870,64,CINCINNATI,166.62,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2015,CLE,Cleveland Indians,Progressive Field,1388905,17361,81,CLEVELAND,166.52,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2015,COL,Colorado Rockies,Coors Field,2506789,30948,68,COLORADO,196.6,Coors Field,50398,1995,0,0,NA,NA
2015,DET,Detroit Tigers,Comerica Park,2726048,33655,74,DETROIT,213.03,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2015,HOU,Houston Astros,Minute Maid Park,2153585,26587,86,HOUSTON,220.28,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2015,KC,Kansas City Royals,Kauffman Stadium,2708549,33439,95,KANSAS CITY,212.04,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2015,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3012765,37195,85,CALIFORNIA/ANAHEIM/LA,190.16,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2015,LAD,Los Angeles Dodgers,Dodger Stadium,3764815,46479,92,LOS ANGELES DODGERS,218.94,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2015,MIA,Miami Marlins,Marlins Park,1752235,21633,71,FLORIDA/Miami,224.83,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2015,MIL,Milwaukee Brewers,Miller Park,2542558,31390,68,MILWAUKEE,182.28,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2015,MIN,Minnesota Twins,Target Field,2220054,27408,83,MINNESOTA,229.36,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2015,NYM,New York Mets,Citi Field,2569753,31725,90,N.Y. METS,219.68,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2015,NYY,New York Yankees,Yankee Stadium III,3193795,39430,87,N.Y. YANKEES,337.2,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2015,ATH,Oakland Athletics,O.co Coliseum,1768175,21829,68,OAKLAND,195,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2015,PHI,Philadelphia Phillies,Citizens Bank Park,1831080,22606,63,PHILADELPHIA,252.18,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2015,PIT,Pittsburgh Pirates,PNC Park,2498596,30847,98,PITTSBURGH,175.95,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2015,SD,San Diego Padres,Petco Park,2459752,30367,74,SAN DIEGO,153.45,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2015,SF,San Francisco Giants,AT&T Park,3375882,41678,84,SAN FRANCISCO,241.13,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2015,SEA,Seattle Mariners,Safeco Field,2193581,27081,76,SEATTLE,212,T-Mobile Park,47574,1999,0,0,NA,NA
2015,STL,St. Louis Cardinals,Busch Stadium III,3520889,43468,100,ST. LOUIS,236.81,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2015,TB,Tampa Bay Rays,Tropicana Field,1287054,15322,80,TAMPA BAY,157.6,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2015,TEX,Texas Rangers,Globe Life Park in Arlington,2491875,30764,88,TEXAS,190.54,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2015,TOR,Toronto Blue Jays,Rogers Centre,2794891,34505,93,TORONTO,208.28,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2015,WAS,Washington Nationals,Nationals Park,2619843,32344,83,WASHINGTON,232.08,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2014,ARI,Arizona Diamondbacks,"Chase Field, Sydney Cricket Grounds",2073730,25602,64,ARIZONA,126.89,Chase Field,48633,1998,0,0,NA,NA
2014,ATL,Atlanta Braves,Turner Field,2354305,29065,79,ATLANTA,171.62,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2014,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2464473,30426,96,BALTIMORE,173.39,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2014,BOS,Boston Red Sox,Fenway Park,2956089,36495,71,BOSTON,350.78,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2014,CHC,Chicago Cubs,Wrigley Field,2652113,32742,73,CHICAGO CUBS,304.64,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2014,CWS,Chicago White Sox,U.S. Cellular Field,1650821,20381,73,CHICAGO WHITE SOX,210.18,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2014,CIN,Cincinnati Reds,Great American Ball Park,2476664,30576,76,CINCINNATI,168.12,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
