year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2024,CIN,Cincinnati Reds,Great American Ball Park,2024178,24990,77,NA,NA,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2024,CLE,Cleveland Guardians,Progressive Field,2056264,25703,92,NA,NA,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2024,COL,Colorado Rockies,Coors Field,2540195,31360,61,NA,NA,Coors Field,50398,1995,0,0,NA,NA
2024,DET,Detroit Tigers,Comerica Park,1858295,22942,86,NA,NA,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2024,HOU,Houston Astros,Minute Maid Park,2835234,35003,88,NA,NA,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2024,KC,Kansas City Royals,Kauffman Stadium,1658347,20473,86,NA,NA,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2024,LAA,Los Angeles Angels,Angel Stadium of Anaheim,2577597,31822,63,NA,NA,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2024,LAD,Los Angeles Dodgers,Dodger Stadium,3941251,48657,98,NA,NA,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2024,MIA,Miami Marlins,loanDepot park,1087455,13425,62,NA,NA,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2024,MIL,Milwaukee Brewers,American Family Field,2537202,31323,93,NA,NA,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2024,MIN,Minnesota Twins,Target Field,1951616,24094,82,NA,NA,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2024,NYM,New York Mets,Citi Field,2329299,28757,89,NA,NA,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2024,NYY,New York Yankees,Yankee Stadium III,3309838,40862,94,NA,NA,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2024,ATH,Oakland Athletics,Oakland Coliseum,922286,11386,69,NA,NA,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2024,PHI,Philadelphia Phillies,Citizens Bank Park,3363712,41527,95,NA,NA,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2024,PIT,Pittsburgh Pirates,PNC Park,1720361,21239,76,NA,NA,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2024,SD,San Diego Padres,Petco Park,3330545,41118,93,NA,NA,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2024,SF,San Francisco Giants,Oracle Park,2647736,32688,80,NA,NA,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2024,SEA,Seattle Mariners,T-Mobile Park,2555813,31553,85,NA,NA,T-Mobile Park,47574,1999,0,0,NA,NA
2024,STL,St. Louis Cardinals,Busch Stadium III,2878115,35532,83,NA,NA,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
